"Composition.type","Composition.type","","","",1,1,"","","Y","CodeableConcept {[]} {[]}
","Tipo da Composition (fixo em 'Sumário Internacional do Paciente)","Tipo da Composition (fixo em 'Sumário Internacional do Paciente)","For Composition type, LOINC is ubiquitous and strongly endorsed by HL7. Most implementation guides will require a specific LOINC code, or use LOINC as an extensible binding.","Key metadata element describing the composition, used in searching/filtering.","","","","","","","",,"preferred","","http://hl7.org/fhir/ValueSet/doc-typecodes","",,,,"Composition.type",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Event.code","./code",".code","DocumentReference.type","FiveWs.class"
"Composition.type.id","Composition.type.id","","","",0,1,"","","","string {[]} {[]}
","ID exclusivo para referência entre elementos","ID exclusivo para referência entre elementos","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Composition.type.extension","Composition.type.extension","","","",0,*,"","","","Extension {[]} {[]}
","Conteúdo adicional definido por implementações","Conteúdo adicional definido por implementações","","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Composition.type.coding","Composition.type.coding","","","",0,*,"","","Y","Coding {[]} {[]}
","Código definido por uma terminologia","Código definido por uma terminologia","Codes may be defined very casually in enumerations, or code lists, up to very formal definitions such as SNOMED CT - see the HL7 v3 Core Principles for more information.  Ordering of codings is undefined and SHALL NOT be used to infer meaning. Generally, at most only one of the coding values will be labeled as UserSelected = true.","Allows for alternative encodings within a code system, and translations to other code systems.","","","","","","","",,,,,"",,,,"CodeableConcept.coding",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","union(., ./translation)"
"Composition.type.coding.id","Composition.type.coding.id","","","",0,1,"","","","string {[]} {[]}
","ID exclusivo para referência entre elementos","ID exclusivo para referência entre elementos","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Composition.type.coding.extension","Composition.type.coding.extension","","","",0,*,"","","","Extension {[]} {[]}
","Conteúdo adicional definido por implementações","Conteúdo adicional definido por implementações","","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Composition.type.coding.system","Composition.type.coding.system","","","",0,1,"","","Y","uri {[]} {[]}
","Identificador do sistema de terminologia","Identidficador do sistema de terminologia","The URI may be an OID (urn:oid:...) or a UUID (urn:uuid:...).  OIDs and UUIDs SHALL be references to the HL7 OID registry. Otherwise, the URI should come from HL7's list of FHIR defined special URIs or it should reference to some definition that establishes the system clearly and unambiguously.","Need to be unambiguous about the source of the definition of the symbol.","","","","","","","",,,,,"",,,,"Coding.system",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","./codeSystem"
"Composition.type.coding.version","Composition.type.coding.version","","","",0,1,"","","Y","string {[]} {[]}
","Versão da terminologia LOINC - se relevante","Versão da terminologia LOINC - se relevante","Where the terminology does not clearly define what string should be used to identify code system versions, the recommendation is to use the date (expressed in FHIR date format) on which that version was officially published as the version date.","","","","","","","","",,,,,"",,,,"Coding.version",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","./codeSystemVersion"
"Composition.type.coding.code","Composition.type.coding.code","","","",0,1,"","","Y","code {[]} {[]}
","Código conforme terminologia","Código conforme terminologia","","Need to refer to a particular code in the system.","","","","","","","",,,,,"",,,,"Coding.code",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","./code"
"Composition.type.coding.display","Composition.type.coding.display","","","",0,1,"","","Y","string {[]} {[]}
","Descrição conforme definição da terminologia LOINC","Descrição conforme definição da terminologia LOINC","","Need to be able to carry a human-readable meaning of the code for readers that do not know  the system.","","","","","","","",,,,,"",,,,"Coding.display",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","CV.displayName"
"Composition.type.coding.userSelected","Composition.type.coding.userSelected","","","",0,1,"","","Y","boolean {[]} {[]}
","Se esta codificação foi escolhida diretamente pelo usuário","Se esta codificação foi escolhida diretamente pelo usuário","Amongst a set of alternatives, a directly chosen code is the most appropriate starting point for new translations. There is some ambiguity about what exactly 'directly chosen' implies, and trading partner agreement may be needed to clarify the use of this element and its consequences more completely.","This has been identified as a clinical safety criterium - that this exact system/code pair was chosen explicitly, rather than inferred by the system based on some rules or language processing.","","","","","","","",,,,,"",,,,"Coding.userSelected",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","CD.codingRationale"
"Composition.type.text","Composition.type.text","","","",0,1,"","","Y","string {[]} {[]}
","Representação em texto livre do conceito","Representação em texto livre do conceito","Very often the text is the same as a displayName of one of the codings.","The codes from the terminologies do not always capture the correct meaning with all the nuances of the human using them, or sometimes there is no appropriate code at all. In these cases, the text is used to capture the full meaning of the source.","","","","","","","",,,,,"",,,,"CodeableConcept.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","./originalText[mediaType/code=""text/plain""]/data"
"Composition.category","Composition.category","","","",0,*,"","","Y","CodeableConcept {[]} {[]}
","Categoria da Composition","Categoria da Composition","This is a metadata field from [XDS/MHD](http://wiki.ihe.net/index.php?title=Mobile_access_to_Health_Documents_(MHD)).","Helps humans to assess whether the composition is of interest when viewing an index of compositions or documents.","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/document-classcodes","",,,,"Composition.category",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Event.subject",".outboundRelationship[typeCode=""COMP].target[classCode=""LIST"", moodCode=""EVN""].code","n/a","DocumenttReference.category","FiveWs.class"
"Composition.subject","Composition.subject","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[https://br-core.saude.gov.br/fhir/StructureDefinition/br-core-patient]]}
","Sobre quem e/ou sobre o que é a Composition","Sobre quem e/ou sobre o que é a Composition","For clinical documents, this is usually the patient.","Essential metadata for searching for the composition. Identifies who and/or what the composition/document is about.","","","","","","","",,,,,"",,,,"Composition.subject",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".participation[typeCode=""SBJ""].role[typeCode=""PAT""]",".recordTarget","DocumentReference.subject","FiveWs.subject[x]","FiveWs.subject"
"Composition.subject.id","Composition.subject.id","","","",0,1,"","","","string {[]} {[]}
","ID exclusivo para referência entre elementos","ID exclusivo para referência entre elementos","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Composition.subject.extension","Composition.subject.extension","","","",0,*,"","","","Extension {[]} {[]}
","Conteúdo adicional definido por implementações","Conteúdo adicional definido por implementações","","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Composition.subject.reference","Composition.subject.reference","","","",0,1,"","","Y","string {[]} {[]}
","Referência literal, URL relativa, interna ou absoluta","Referência literal, URL relativa, interna ou absoluta","Using absolute URLs provides a stable scalable approach suitable for a cloud/web context, while using relative/logical references provides a flexible approach suitable for use when trading across closed eco-system boundaries.   Absolute URLs do not need to point to a FHIR RESTful server, though this is the preferred approach. If the URL conforms to the structure ""/[type]/[id]"" then it should be assumed that the reference is to a FHIR RESTful server.","","","","","","","","",,,,,"",,,,"Reference.reference",0,1,"ref-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","N/A"
"Composition.subject.type","Composition.subject.type","","","",0,1,"","","Y","uri {[]} {[]}
","Tipo ao qual a referência se refere (por exemplo,'Paciente')","Tipo ao qual a referência se refere (por exemplo,'Paciente')","This element is used to indicate the type of  the target of the reference. This may be used which ever of the other elements are populated (or not). In some cases, the type of the target may be determined by inspection of the reference (e.g. a RESTful URL) or by resolving the target of the reference; if both the type and a reference is provided, the reference SHALL resolve to a resource of the same type as that specified.","","","","","","","","",,"extensible","Aa resource (or, for logical models, the URI of the logical model).","http://hl7.org/fhir/ValueSet/resource-types|4.0.1","",,,,"Reference.type",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","N/A"
"Composition.subject.identifier","Composition.subject.identifier","","","",0,1,"","","Y","Identifier {[]} {[]}
","Referência lógica, quando a referência literal não é conhecida","Referência lógica, quando a referência literal não é conhecida","When an identifier is provided in place of a reference, any system processing the reference will only be able to resolve the identifier to a reference if it understands the business context in which the identifier is used. Sometimes this is global (e.g. a national identifier) but often it is not. For this reason, none of the useful mechanisms described for working with references (e.g. chaining, includes) are possible, nor should servers be expected to be able resolve the reference. Servers may accept an identifier based reference untouched, resolve it, and/or reject it - see CapabilityStatement.rest.resource.referencePolicy. 

When both an identifier and a literal reference are provided, the literal reference is preferred. Applications processing the resource are allowed - but not required - to check that the identifier matches the literal reference

Applications converting a logical reference to a literal reference may choose to leave the logical reference present, or remove it.

Reference is intended to point to a structure that can potentially be expressed as a FHIR resource, though there is no need for it to exist as an actual FHIR resource instance - except in as much as an application wishes to actual find the target of the reference. The content referred to be the identifier must meet the logical constraints implied by any limitations on what resource types are permitted for the reference.  For example, it would not be legitimate to send the identifier for a drug prescription if the type were Reference(Observation|DiagnosticReport).  One of the use-cases for Reference.identifier is the situation where no FHIR representation exists (where the type is Reference (Any).","","","","","","","","",,,,,"",,,,"Reference.identifier",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".identifier"
"Composition.subject.display","Composition.subject.display","","","",0,1,"","","Y","string {[]} {[]}
","Referência ao paciente ou grupo deste atendimento","Referência ao paciente ou grupo deste atendimento","This is generally not the same as the Resource.text of the referenced resource.  The purpose is to identify what's being referenced, not to fully describe it.","","","","","","","","",,,,,"",,,,"Reference.display",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","N/A"
"Composition.encounter","Composition.encounter","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[https://br-core.saude.gov.br/fhir/StructureDefinition/br-core-encounter]]}
","Contato assistencial descrito nesta Composition","Contato assistencial descrito nesta Composition","","Provides context for the composition and supports searching.","","","","","","","",,,,,"",,,,"Composition.encounter",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Event.context","unique(highest(./outboundRelationship[typeCode=""SUBJ"" and isNormalActRelationship()], priorityNumber)/target[moodCode=""EVN"" and classCode=(""ENC"", ""PCPR"") and isNormalAct])",".componentOf.encompassingEncounter","DocumentReference.context.encounter","FiveWs.context"
"Composition.date","Composition.date","","","",1,1,"","","Y","dateTime {[]} {[]}
","Data de edição da Composition","Data de edição da Composition","The Last Modified Date on the composition may be after the date of the document was attested without being changed.","dateTime is used for tracking, organizing versions and searching. Note that this is the time of *authoring*. When packaged in a document, [Bundle.timestamp](http://hl7.org/fhir/R4/bundle-definitions.html#Bundle.timestamp) is the date of packaging.","","","","","","","",,,,,"",,,,"Composition.date",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Event.occurrence[x]",".effectiveTime[type=""TS""]",".effectiveTime","DocumentReference.content.attachment.date, DocumentReference.created","FiveWs.done[x]"
"Composition.author","Composition.author","","","",1,*,"","","Y","Reference {[]} {[CanonicalType[https://br-core.saude.gov.br/fhir/StructureDefinition/br-core-practitioner], CanonicalType[https://br-core.saude.gov.br/fhir/StructureDefinition/br-core-practitionerrole], CanonicalType[http://hl7.org/fhir/StructureDefinition/Device], CanonicalType[https://br-core.saude.gov.br/fhir/StructureDefinition/br-core-patient], CanonicalType[https://br-core.saude.gov.br/fhir/StructureDefinition/br-core-relatedperson], CanonicalType[https://br-core.saude.gov.br/fhir/StructureDefinition/br-core-organization]]}
","Quem e/ou o que foi o autor desta Composition","Quem e/ou o que foi o autor desta Compositon","","Identifies who is responsible for the content.","","","","","","","",,,,,"",,,,"Composition.author",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Event.performer",".participation[typeCode=""AUT""].role[classCode=""ASSIGNED""]",".author.assignedAuthor","DocumentReference.agent","FiveWs.author"
"Composition.title","Composition.title","","","",1,1,"","","Y","string {[]} {[]}
","Sumário Internacional do Paciente","Sumário Internacional do Paciente","For many compositions, the title is the same as the text or a display name of Composition.type (e.g. a ""consultation"" or ""progress note""). Note that CDA does not make title mandatory, but there are no known cases where it is useful for title to be omitted, so it is mandatory here. Feedback on this requirement is welcome during the trial use period.","","","","","","","","",,,,,"",,,,"Composition.title",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","./title",".title","DocumentReference.description, DocumentReference.content.attachment.title"
"Composition.confidentiality","Composition.confidentiality","","","",0,1,"","","Y","code {[]} {[]}
","Códigos que especificam o nível de confidencialidade da Composition","Códigos que especificam o nível de confidencialidade da Composition","The exact use of this element, and enforcement and issues related to highly sensitive documents are out of scope for the base specification, and delegated to implementation profiles (see security section).  This element is labeled as a modifier because highly confidential documents must not be treated as if they are not.","","","","","","","","",,"required","","http://terminology.hl7.org/ValueSet/v3-ConfidentialityClassification","",,,,"Composition.confidentiality",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".confidentialityCode",".confidentialityCode","DocumentReference.securityLabel"
"Composition.attester","Composition.attester","","","",0,*,"","","","BackboneElement {[]} {[]}
","Responsável por atestar a acurácia da Composition","Responsável por atestar a acurácia da Composition","Only list each attester once.","Identifies responsibility for the accuracy of the composition content.","","","","","","","",,,,,"",,,,"Composition.attester",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".participation[typeCode=""AUTHEN""].role[classCode=""ASSIGNED""]",".authenticator/.legalAuthenticator","DocumentReference.authenticator"
"Composition.attester.id","Composition.attester.id","","","",0,1,"","","","string {[]} {[]}
","ID exclusivo para referência entre elementos","ID exclusivo para referência entre elementos","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Composition.attester.extension","Composition.attester.extension","","","",0,*,"","","","Extension {[]} {[]}
","Conteúdo adicional definido por implementações","Conteúdo adicional definido por implementações","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Composition.attester.modifierExtension","Composition.attester.modifierExtension","","","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensões que não podem ser ignoradas mesmo que não sejam reconhecidas","Extensões que não podem ser ignoradas mesmo que não sejam reconhecidas","","","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Composition.attester.mode","Composition.attester.mode","","","",1,1,"","","","code {[]} {[]}
","Métodolo utilizada para autenticar a Composition","Métodolo utilizada para autenticar a Composition: pessoal, profissional, legal, oficial","","Indicates the level of authority of the attestation.","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/composition-attestation-mode","",,,,"Composition.attester.mode",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","unique(./modeCode)","implied by .authenticator/.legalAuthenticator"
"Composition.attester.time","Composition.attester.time","","","",0,1,"","","","dateTime {[]} {[]}
","Quando a Composition foi atestada","Quando a Composition foi atestada","","Identifies when the information in the composition was deemed accurate.  (Things may have changed since then.).","","","","","","","",,,,,"",,,,"Composition.attester.time",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","./time[type=""TS"" and isNormalDatatype()]",".authenticator.time"
"Composition.attester.party","Composition.attester.party","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://br-core.saude.gov.br/fhir/StructureDefinition/br-core-patient], CanonicalType[https://br-core.saude.gov.br/fhir/StructureDefinition/br-core-relatedperson], CanonicalType[https://br-core.saude.gov.br/fhir/StructureDefinition/br-core-practitioner], CanonicalType[https://br-core.saude.gov.br/fhir/StructureDefinition/br-core-practitionerrole], CanonicalType[https://br-core.saude.gov.br/fhir/StructureDefinition/br-core-organization]]}
","Referência à quem atestou a Composition","Referência à quem atestou a Composition","","Identifies who has taken on the responsibility for accuracy of the composition content.","","","","","","","",,,,,"",,,,"Composition.attester.party",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","./role[classCode=""ASSIGNED"" and isNormalRole]/player[determinerCode=""INST"" and classCode=(""DEV"", ""PSN"") and isNormalEntity()] or ./role[classCode=""ASSIGNED"" and isNormalRole and not(player)]/scoper[determinerCode=""INST"" and classCode=""ORG"" and isNormalEntity()]",".authenticator.assignedEnttty","FiveWs.witness"
"Composition.custodian","Composition.custodian","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[https://br-core.saude.gov.br/fhir/StructureDefinition/br-core-organization]]}
","Identifica a organização ou grupo responsável pela Composition","Identifica a organização ou grupo responsável pela Composition","This is useful when documents are derived from a composition - provides guidance for how to get the latest version of the document. This is optional because this is sometimes not known by the authoring system, and can be inferred by context. However, it is important that this information be known when working with a derived document, so providing a custodian is encouraged.","Identifies where to go to find the current version, where to report issues, etc.","","","","","","","",,,,,"",,,,"Composition.custodian",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".participation[typeCode=""RCV""].role[classCode=""CUST""].scoper[classCode=""ORG"" and determinerCode=""INST""]",".custodian.assignedCustodian","DocumentReference.custodian"
"Composition.relatesTo","Composition.relatesTo","","","",0,*,"","","","BackboneElement {[]} {[]}
","Relações que esta Composition tem com outras composições ou recursos","Relações que esta Composition tem com outras composições ou recursos","A document is a version specific composition.","","","","","","","","",,,,,"",,,,"Composition.relatesTo",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".outboundRelationship",".relatedDocument","DocumentReference.relatesTo"
"Composition.relatesTo.id","Composition.relatesTo.id","","","",0,1,"","","","string {[]} {[]}
","Identificador único para referência cruzada","Identificador único para referência cruzada","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Composition.relatesTo.extension","Composition.relatesTo.extension","","","",0,*,"","","","Extension {[]} {[]}
","Conteúdo adicional definido por implementações","Conteúdo adicional definido por implementações","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Composition.relatesTo.modifierExtension","Composition.relatesTo.modifierExtension","","","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensões que não podem ser ignoradas mesmo que não sejam reconhecidas","Extensões que não podem ser ignoradas mesmo que não sejam reconhecidas","","","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Composition.relatesTo.code","Composition.relatesTo.code","","","",1,1,"","","","code {[]} {[]}
","Código da asssociação da Composition","Código da asssociação da Composition","If this document appends another document, then the document cannot be fully understood without also accessing the referenced document.","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/document-relationship-type","",,,,"Composition.relatesTo.code",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".outboundRelationship.typeCode",".relatedDocument.typeCode","DocumentReference.relatesTo.code"
